"","G1","G2","G3","G4","Feature"
"INC_20",0,0,0,0.032993409562448,"INC_20"
"INC_80",0.185976383818089,0.469679358668395,0.2294047680969,0.185976383818089,"INC_80"
"INC_MED",0.0811346195307791,0,0.378972644692606,0,"INC_MED"
"NO.EDU.PER",0,0,0,0,"NO.EDU.PER"
"NO.ENG.SPEAK.PER",0,0,0,0,"NO.ENG.SPEAK.PER"
"SG_AB",0,0,0,0,"SG_AB"
"SG_C1",0,0.300889424505151,0,0.229443623788576,"SG_C1"
"SG_C2",0,0,0,0,"SG_C2"
"SG_DE",0,0,0,0,"SG_DE"
"T.03",0,0,0,0,"T.03"
"T.B03",0,0,0.249027481186865,0,"T.B03"
"res.den",0,0.0162357433758277,0,0,"res.den"
"V.00",0,0,0,0,"V.00"
"V.01",0.354184197270966,0.040971086224658,0.040971086224658,0.176693582467914,"V.01"
"V.02",0,0,0,0,"V.02"
"V.04",0,0.392046500306329,0,0.638054973322453,"V.04"
"hospital.per",0.0666449137870731,0.147961100514499,0,0,"hospital.per"
"park.per",0,0,0,0,"park.per"
"market.per",0,0,0,0,"market.per"
"part_time",0,0,0,0,"part_time"
"full_time",0,0,0,0,"full_time"
"self_employed",0.710379657168163,0.0230769026375865,0.0230769026375865,0.2586777013475,"self_employed"
"H.G",0,0,0,0,"H.G"
"H.F",0,0,0,0,"H.F"
"H.B",0,0,0,0,"H.B"
"E.WH",0,0,0,0,"E.WH"
"E.MIX",0,0,0,0,"E.MIX"
"E.IN",0,0,0,0,"E.IN"
"E.PA",0,0,0,0,"E.PA"
"E.BA",0.0851049981949466,0,0,0.0623282181008394,"E.BA"
"E.CH",0,0,0,0,"E.CH"
"E.O.A",0,0.0664069954194732,0.0096095431215592,0,"E.O.A"
"E.AF",0,0.430950464170876,0,0,"E.AF"
"E.CAR",0.0941762768502531,0,0,0.194099712243306,"E.CAR"
"E.O.B",0.126505849961956,0,0,0.0277865214076053,"E.O.B"
"E.O",0,0,0,0,"E.O"
"cum.infection.rates",0.245736410577107,0,0,0.00445201428615511,"cum.infection.rates"
"cum.mortality.rates",0,0,0,0.197561470524976,"cum.mortality.rates"
